epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
62,144.373,1.76458,2.44875,1.21443,1.71224,0,0.62882,0.87037,0.852,0.25892,0.55231,0.53704,0.49425,0.18678,2.28951,3.57568,1.75402,1.91375,0,0.00144973,0.000483242,0.00144973,0.000483242,0.00144973,0.000483242,0.00144973,0.000483242
63,146.689,1.94718,2.75649,1.19212,1.73987,0,0.74899,0.77368,0.8582,0.28936,0.53306,0.48148,0.46145,0.19089,2.17218,3.61498,1.55879,1.89746,0,0.00143666,0.000478888,0.00143666,0.000478888,0.00143666,0.000478888,0.00143666,0.000478888
64,148.691,1.85645,2.52272,1.2097,1.71357,0,0.74899,0.77368,0.8582,0.28936,0.53306,0.48148,0.46145,0.19089,2.17218,3.61498,1.55879,1.89746,0,0.00142241,0.000474138,0.00142241,0.000474138,0.00142241,0.000474138,0.00142241,0.000474138
65,150.863,1.90827,2.77332,1.15257,1.71291,0,0.74899,0.77368,0.8582,0.28936,0.53306,0.48148,0.46145,0.19089,2.17218,3.61498,1.55879,1.89746,0,0.00140698,0.000468992,0.00140698,0.000468992,0.00140698,0.000468992,0.00140698,0.000468992
66,152.967,1.87376,2.85586,1.17025,1.80138,0,0.7867,0.7514,0.88131,0.32146,0.50776,0.45852,0.39163,0.17549,2.08933,3.6538,1.28866,1.88549,0,0.00139035,0.00046345,0.00139035,0.00046345,0.00139035,0.00046345,0.00139035,0.00046345
67,155.074,1.69792,2.5762,1.14644,1.53116,0,0.7867,0.7514,0.88131,0.32146,0.50776,0.45852,0.39163,0.17549,2.08933,3.6538,1.28866,1.88549,0,0.00137254,0.000457512,0.00137254,0.000457512,0.00137254,0.000457512,0.00137254,0.000457512
68,156.916,1.93356,2.74698,1.16023,1.79168,0,0.7867,0.7514,0.88131,0.32146,0.50776,0.45852,0.39163,0.17549,2.08933,3.6538,1.28866,1.88549,0,0.00135353,0.000451178,0.00135353,0.000451178,0.00135353,0.000451178,0.00135353,0.000451178
69,158.906,1.69833,2.46146,1.09605,1.69956,0,0.773,0.77778,0.88191,0.36146,0.53595,0.44444,0.38161,0.16999,1.96138,3.67466,1.10587,1.85803,0,0.00133334,0.000444448,0.00133334,0.000444448,0.00133334,0.000444448,0.00133334,0.000444448
70,160.679,1.78538,2.39892,1.22532,1.64968,0,0.773,0.77778,0.88191,0.36146,0.53595,0.44444,0.38161,0.16999,1.96138,3.67466,1.10587,1.85803,0,0.00131197,0.000437322,0.00131197,0.000437322,0.00131197,0.000437322,0.00131197,0.000437322
71,162.517,1.59982,2.64641,1.04074,1.54619,0,0.773,0.77778,0.88191,0.36146,0.53595,0.44444,0.38161,0.16999,1.96138,3.67466,1.10587,1.85803,0,0.0012894,0.0004298,0.0012894,0.0004298,0.0012894,0.0004298,0.0012894,0.0004298
72,164.916,1.78255,2.39291,1.09649,1.66041,0,0.88771,0.81481,0.89686,0.40041,0.54422,0.46296,0.37913,0.16484,1.84417,3.71364,1.00531,1.84157,0,0.00126565,0.000421882,0.00126565,0.000421882,0.00126565,0.000421882,0.00126565,0.000421882
73,166.855,1.65745,2.47792,1.07358,1.54895,0,0.88771,0.81481,0.89686,0.40041,0.54422,0.46296,0.37913,0.16484,1.84417,3.71364,1.00531,1.84157,0,0.0012407,0.000413568,0.0012407,0.000413568,0.0012407,0.000413568,0.0012407,0.000413568
74,169.444,1.38834,2.28952,1.00636,1.36834,0,0.88771,0.81481,0.89686,0.40041,0.54422,0.46296,0.37913,0.16484,1.84417,3.71364,1.00531,1.84157,0,0.00121457,0.000404858,0.00121457,0.000404858,0.00121457,0.000404858,0.00121457,0.000404858
75,171.77,1.67097,2.4056,1.06358,1.68324,0,0.92076,0.7963,0.89671,0.42687,0.51701,0.46296,0.38145,0.17562,1.76851,3.70735,0.96223,1.82099,0,0.00118726,0.000395752,0.00118726,0.000395752,0.00118726,0.000395752,0.00118726,0.000395752
76,174.246,1.76849,2.64115,1.05243,1.54579,0,0.92076,0.7963,0.89671,0.42687,0.51701,0.46296,0.38145,0.17562,1.76851,3.70735,0.96223,1.82099,0,0.00115875,0.00038625,0.00115875,0.00038625,0.00115875,0.00038625,0.00115875,0.00038625
77,176.761,1.52116,2.21955,1.01155,1.55778,0,0.92076,0.7963,0.89671,0.42687,0.51701,0.46296,0.38145,0.17562,1.76851,3.70735,0.96223,1.82099,0,0.00112906,0.000376352,0.00112906,0.000376352,0.00112906,0.000376352,0.00112906,0.000376352
78,179.427,1.64212,2.47239,1.01018,1.56575,0,0.8741,0.83333,0.9059,0.45154,0.48469,0.46296,0.37534,0.16025,1.72199,3.73639,0.93124,1.81301,0,0.00109817,0.000366058,0.00109817,0.000366058,0.00109817,0.000366058,0.00109817,0.000366058
79,181.678,1.56631,2.43182,0.96042,1.56036,0,0.8741,0.83333,0.9059,0.45154,0.48469,0.46296,0.37534,0.16025,1.72199,3.73639,0.93124,1.81301,0,0.0010661,0.000355368,0.0010661,0.000355368,0.0010661,0.000355368,0.0010661,0.000355368
80,183.807,1.70336,2.42426,1.03497,1.66824,0,0.8741,0.83333,0.9059,0.45154,0.48469,0.46296,0.37534,0.16025,1.72199,3.73639,0.93124,1.81301,0,0.00103285,0.000344282,0.00103285,0.000344282,0.00103285,0.000344282,0.00103285,0.000344282
81,186.117,1.62493,2.46362,1.03516,1.60524,0,0.8844,0.85185,0.91519,0.46457,0.47677,0.45569,0.371,0.16421,1.72092,3.72622,0.94038,1.83223,0,0.0009984,0.0003328,0.0009984,0.0003328,0.0009984,0.0003328,0.0009984,0.0003328
82,188.354,1.47348,2.59609,0.94989,1.46619,0,0.8844,0.85185,0.91519,0.46457,0.47677,0.45569,0.371,0.16421,1.72092,3.72622,0.94038,1.83223,0,0.000962766,0.000320922,0.000962766,0.000320922,0.000962766,0.000320922,0.000962766,0.000320922
83,190.324,1.40602,1.99379,0.97619,1.4648,0,0.8844,0.85185,0.91519,0.46457,0.47677,0.45569,0.371,0.16421,1.72092,3.72622,0.94038,1.83223,0,0.000925944,0.000308648,0.000925944,0.000308648,0.000925944,0.000308648,0.000925944,0.000308648
